,Instrument,RIC,Currency,Issuer Rating,Rating Source Description,Date,Fitchs Rating,Fitchs Rating Date,SP Rating,SP Rating Date,Moodys Rating,Moodys Rating Date,Duration,Total Duration,Modified Duration,Modified Duration,Mac. Duration,Macaulay Duration,Yield To Maturity,Yield to Maturity,Average Yield to Maturity,Yield to Maturity,Bond Grade,Par Value,Face Issued Total
34,SE0007186150=,SE0007186150=,EUR,,,,,,,,,2015-06-26,,,,,,,,,,,,100000,38000000
35,SE0008992051=,SE0008992051=,SEK,,,,,,,,,2016-09-09,0.3444,,0.3369,0.061419297711252,0.344444,,2.298362,,,2.248146,,1000000,175000000
36,SE0009522741=,SE0009522741=,SEK,BBB-,Fitch Subordinated,2022-04-28,,,,,,2017-01-19,0.7056,,0.694,0.092601260225394,0.705556,,2.413607,,,2.363917,,1000000,500000000
37,SE0009580475=,SE0009580475=,SEK,a3,Moody's Baseline Credit Assessments Rating,2025-11-18,,,,,Aaa,2017-02-03,0.7417,,0.729,0.095657407427552,0.741667,,2.384606,,,2.33464,Bond Grade: Investment Grade,1000000,250000000
38,SE0010296350=,SE0010296350=,SEK,A1,Moody's Derived Long-term Issuer Rating,2024-09-23,,,,,,2017-11-09,,,,,,,,,,,,10000,100000000
39,SE0010296632=,SE0010296632=,EUR,,,,,,,,,2017-09-05,,,,,,,,,,,,100000,58000000
40,SE0010520692=,SE0010520692=,SEK,baa3,Moody's Baseline Credit Assessments Rating,2025-04-29,,,,,,2017-11-08,0.8411,,0.2639,,,,,,,2.073552,,1000000,530000000
41,SE0010599258=,SE0010599258=,SEK,,,,,,,,,2018-05-30,2.0219,,1.9687,0.212967154729788,2.021867,,2.749851,,,2.699927,,2000000,1000000000
42,SE0010599381=,SE0010599381=,SEK,,,,,,,,,2018-10-30,2.1615,,0.2389,,2.135867,,46.593039,,,41.168848,,2000000,300000000
43,SE0010714220=,SE0010714220=,SEK,,,,,,,,,2018-01-09,21.6778,,21.4632,,,,,,,1.0,,1000,50030380000
44,SE0010948851=,SE0010948851=,SEK,A1,Moody's Derived Long-term Issuer Rating,2024-09-23,,,,,,2018-06-12,,,,,,,,,,,,10000,100000000
45,SE0010948885=,SE0010948885=,SEK,A1,Moody's Derived Long-term Issuer Rating,2024-09-23,,,,,,2018-07-13,,,,,,,,,,,,10000,50000000
46,SE0010985978=,SE0010985978=,SEK,,,,,,,,,2018-03-27,0.8743,,0.1556,,,,,,,1.0,,100000,200000000
47,SE0011178532=,SE0011178532=,SEK,A1,Moody's Derived Long-term Issuer Rating,2024-09-23,,,,,,2018-07-13,,,,,,,,,,,,10000,190000000
48,SE0011311232=,SE0011311232=,SEK,(P)A3,Moody's Long-term Subordinate MTN Rating,2025-10-07,,,,,,2018-07-20,,,,,,,,,,,,10000,12170000
49,SE0011337054=,SE0011337054=,EUR,,,,,,,,,2018-11-08,2.3298,,2.1946,2.4885,2.329269,,6.377817,,,6.162629,,1000,40000000
