,RIC,DTSubjectName,DBSTicker,CouponRate,MaturityDate,IssueDate,ISIN,RCSCurrencyLeaf,RCSCountryLeaf,DbTypeDescription,InstrumentTypeDescription,RCSBondGradeLeaf,MaturityStandardYield,MaturityCorpMacDuration,MaturityCorpModDuration,IsCallable,IndustrySubSectorDescription,Price,PricingTradeDate
34,FI4000456199=HE,BNP Paribas Issuance BV,BNPPAI,0.0,2027-02-04,2021-02-04,FI4000456199,Euro,Finland,Corporate,Structured Product,,,,,False,Financial - Other,,
35,FI4000466412=,Oma Saastopankki Oyj,OMASP,0.01,2027-11-25,2020-11-25,FI4000466412,Euro,Finland,Corporate,Covered Bond (Other),,2.974473,1.574897,1.55194,False,Banking,95.495,2026-04-24
36,FI4000466438=HE,BNP Paribas Issuance BV,BNPPAI,0.0,2027-01-04,2020-12-18,FI4000466438,Euro,Finland,Corporate,Structured Product,,,,,False,Financial - Other,,
37,FI4000466453=HE,BNP Paribas Issuance BV,BNPPAI,0.0,2027-02-02,2021-01-19,FI4000466453,Euro,Finland,Corporate,Structured Product,,,,,False,Financial - Other,,
38,FI4000466602=HE,BNP Paribas Issuance BV,BNPPAI,0.0,2027-01-12,2020-12-29,FI4000466602,Euro,Finland,Corporate,Structured Product,,,,,False,Financial - Other,,
39,FI4000466651=,Danske Bank A/S,DANSK,4.71,2027-01-22,2021-01-08,FI4000466651,Euro,Finland,Corporate,Structured Product,,,,,False,Banking,,
40,FI4000476791=,Danske Bank A/S,DANSK,,2026-12-30,2020-12-21,FI4000476791,Euro,Finland,Corporate,Structured Product,,,,,False,Banking,,
41,FI4000476940=HE,BNP Paribas Issuance BV,BNPPAI,0.0,2027-03-18,2021-03-18,FI4000476940,Euro,Finland,Corporate,Structured Product,,,,,False,Financial - Other,,
42,FI4000476957=HE,BNP Paribas Issuance BV,BNPPAI,0.0,2027-03-18,2021-03-18,FI4000476957,Euro,Finland,Corporate,Structured Product,,,,,False,Financial - Other,,
43,FI4000480041=HE,BNP Paribas Issuance BV,BNPPAI,0.0,2026-05-11,2021-02-12,FI4000480041,Euro,Finland,Corporate,Structured Product,,,,,False,Financial - Other,,
44,FI4000480058=HE,BNP Paribas Issuance BV,BNPPAI,0.0,2027-02-26,2021-02-12,FI4000480058,Euro,Finland,Corporate,Structured Product,,,,,False,Financial - Other,,
45,FI4000480116=,Danske Bank A/S,DANSK,0.0,2027-02-26,2021-02-12,FI4000480116,Euro,Finland,Corporate,Structured Product,,,,,False,Banking,,
46,FI4000480371=,UBS AG (London Branch),UBSGUO,0.0,2027-03-31,2021-03-15,FI4000480371,Euro,Finland,Corporate,Structured Product,,,,,False,Banking,,
47,FI4000480405=HE,BNP Paribas Issuance BV,BNPPAI,0.0,2027-03-30,2021-03-15,FI4000480405,Euro,Finland,Corporate,Structured Product,,,,,False,Financial - Other,,
48,FI4000480439=HE,BNP Paribas Issuance BV,BNPPAI,0.0,2027-03-30,2021-03-15,FI4000480439,Euro,Finland,Corporate,Structured Product,,,,,False,Financial - Other,,
49,FI4000480447=HE,BNP Paribas Issuance BV,BNPPAI,0.0,2026-06-09,2021-03-15,FI4000480447,Euro,Finland,Corporate,Structured Product,,,,,False,Financial - Other,,
50,FI4000480520=HE,BNP Paribas Issuance BV,BNPPAI,0.0,2027-04-30,2021-04-30,FI4000480520,Euro,Finland,Corporate,Structured Product,,,,,False,Financial - Other,,
51,FI4000480538=HE,BNP Paribas Issuance BV,BNPPAI,0.0,2027-04-30,2021-04-30,FI4000480538,Euro,Finland,Corporate,Structured Product,,,,,False,Financial - Other,,
52,FI4000480561=,Danske Bank A/S,DANSK,0.0,2027-03-16,2021-03-05,FI4000480561,Euro,Finland,Corporate,Structured Product,,,,,False,Banking,,
53,FI4000490628=HE,BNP Paribas Issuance BV,BNPPAI,0.0,2027-03-30,2021-03-16,FI4000490628,Euro,Finland,Corporate,Structured Product,,,,,False,Financial - Other,,
54,FI4000490719=,Danske Bank A/S,DANSK,0.0,2027-04-05,2021-03-22,FI4000490719,Euro,Finland,Corporate,Structured Product,,,,,False,Banking,,
55,FI4000490891=HE,BNP Paribas Issuance BV,BNPPAI,0.0,2026-08-11,2021-04-14,FI4000490891,Euro,Finland,Corporate,Structured Product,,,,,False,Financial - Other,,
56,FI4000490917=,Danske Bank A/S,DANSK,0.0,2027-04-28,2021-07-14,FI4000490917,Euro,Finland,Corporate,Structured Product,,,,,False,Banking,,
57,FI4000490933=,Danske Bank A/S,DANSK,6.22,2027-04-22,2021-04-13,FI4000490933,Euro,Finland,Corporate,Structured Product,,,,,False,Banking,,
58,FI4000490941=HE,BNP Paribas Issuance BV,BNPPAI,0.0,2027-04-22,2021-04-14,FI4000490941,Euro,Finland,Corporate,Structured Product,,,,,False,Financial - Other,,
59,FI4000491063=HE,BNP Paribas Issuance BV,BNPPAI,0.0,2027-05-07,2021-04-23,FI4000491063,Euro,Finland,Corporate,Structured Product,,,,,False,Financial - Other,,
60,FI4000491071=,Danske Bank A/S,DANSK,0.0,2026-04-30,2021-04-23,FI4000491071,Euro,Finland,Corporate,Structured Product,,,,,False,Banking,,
61,FI4000491105=,Danske Bank A/S,DANSK,4.7,2027-04-28,2021-04-14,FI4000491105,Euro,Finland,Corporate,Structured Product,,,,,False,Banking,,
62,FI4000496286=,Neste Oyj,NESTE,0.75,2028-03-25,2021-03-25,FI4000496286,Euro,Finland,Corporate,Bond,,3.094327,1.900717,1.871998,True,Oil and Gas,95.722,2026-04-24
63,FI4000496344=,Suomen Hypoteekkiyhdistys,SUHYP,0.01,2031-03-24,2021-03-24,FI4000496344,Euro,Finland,Corporate,Covered Bond (Other),,3.362889,4.904451,4.824032,False,Real Estate Investment Trust,85.071,2026-04-24
64,FI4000496419=,Danske Bank A/S,DANSK,6.15,2027-04-29,2021-04-15,FI4000496419,Euro,Finland,Corporate,Structured Product,,,,,False,Banking,,
65,FI4000496468=,Kemira Oyj,KEMIR,1.0,2028-03-30,2021-03-30,FI4000496468,Euro,Finland,Corporate,Bond,,3.376567,1.912091,1.880632,True,Chemicals,95.65,2026-04-24
66,FI4000496542=,Danske Bank A/S,DANSK,0.0,2027-05-11,2021-04-30,FI4000496542,Euro,Finland,Corporate,Structured Product,,,,,False,Banking,,
