,RIC,DTSubjectName,DBSTicker,CouponRate,MaturityDate,IssueDate,ISIN,RCSCurrencyLeaf,RCSCountryLeaf,DbTypeDescription,InstrumentTypeDescription,RCSBondGradeLeaf,MaturityStandardYield,MaturityCorpMacDuration,MaturityCorpModDuration,IsCallable,IndustrySubSectorDescription,Price,PricingTradeDate
11,DEA4ERPL=F,LR Health & Beauty SE,AOOINL,0.0,,2026-02-27,NO0013736744,Euro,Norway,Corporate,Interest Claim,,,,,False,Financial - Other,,
12,DEA4ESCT=,Sparebank 1 Boligkreditt AS,SPRBG,3.0,2032-03-23,2026-03-23,XS3324600215,Euro,Norway,Corporate,Covered Bond (Other),Investment Grade,3.11323,5.480973,5.397618,False,Mortgage Banking,99.394,2026-04-24
13,DEA4ETDQ=,Sparebanken Norge Boligkreditt AS,SBNORS,2.875,2031-04-16,2026-04-16,XS3343433085,Euro,Norway,Corporate,Covered Bond (Other),Investment Grade,3.064643,4.693517,4.623203,False,Banking,99.137,2026-04-24
14,NO0010821572=,Rikshem AB (publ),RIKINR,3.42,2030-04-24,2018-04-24,NO0010821572,Norwegian Krone,Norway,Corporate,Bond,,5.298569,3.787121,3.690604,False,Home Builders,93.4,2026-04-24
15,NO0010832785=,WOW air hf,WOWAR,9.0,2021-09-24,2018-09-24,NO0010832785,Euro,Norway,Corporate,Bond,,,,,False,Airline,,
16,NO0010834534=,Rikshem AB (publ),RIKINR,3.7,2033-10-18,2018-10-18,NO0010834534,Norwegian Krone,Norway,Corporate,Bond,,5.36519,6.477436,6.310321,False,Home Builders,89.94,2026-04-24
17,NO0010835523=,Atrium Ljungberg AB,ATRLJ,3.845,2028-11-06,2018-11-06,NO0010835523,Norwegian Krone,Norway,Corporate,Bond,,5.678014,2.409452,2.343727,False,Home Builders,95.77,2026-04-24
18,NO0010839079=,Rikshem AB (publ),RIKINR,3.48,2028-12-07,2018-12-07,NO0010839079,Norwegian Krone,Norway,Corporate,Bond,,5.329003,2.505745,2.441468,False,Home Builders,95.58,2026-04-24
19,NO0010945777=MFID,Hancap AB (publ),HANCA,0.0,,2021-03-01,NO0010945777,Swedish Krona,Norway,Corporate,Interest Claim,,,,,True,Building Products,,
20,NO0011015968=MFID,Hancap AB (publ),HANCA,0.0,,2021-05-28,NO0011015968,Swedish Krona,Norway,Corporate,Interest Claim,,,,,False,Building Products,,
21,NO0011018384=TE,Public Property Sub-Holding 1 AS,PUBLIB,6.51,2027-03-23,2021-06-22,NO0011018384,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Securities,,
22,NO0011087496=MFID,Hancap AB (publ),HANCA,0.0,,2021-08-30,NO0011087496,Swedish Krona,Norway,Corporate,Interest Claim,,,,,False,Building Products,,
23,NO001112555=1M,Nordic Corporate Bank ASA,NORCB,9.77,,2021-10-14,NO0011125551,Norwegian Krone,Norway,Corporate,Bond,,,,,True,Banking,,
24,NO0011149866=TE,Public Property Sub-Holding 4 AS,PUBLIC,5.902,2028-03-23,2021-12-16,NO0011149866,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Financial - Other,,
25,NO001114988=1M,Eika Digitalbank AS,EIKGRD,8.34,,2021-11-08,NO0011149882,Norwegian Krone,Norway,Corporate,Bond,,,,,True,Banking,,
26,NO0011160368=TE,Erh AS,ERH,0.0,2028-01-01,2019-05-21,NO0011160368,Euro,Norway,Corporate,Bond,,,,,True,Financial - Other,,
27,NO0012479809=TE,Slate European Essential Re Norway II AS,SLEERT,6.41,2027-03-29,2022-03-29,NO0012479809,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Service - Other,,
28,NO0012544602=TE,Ktp Holding I AS,KTPINH,6.492,2030-12-20,2022-06-24,NO0012544602,Norwegian Krone,Norway,Corporate,Bond,,,,,True,Financial - Other,,
29,NO0012852534=ST,Goldman Sachs International,GSILT,0.0,2028-04-20,2023-04-20,NO0012852534,Norwegian Krone,Norway,Corporate,Structured Product,,,,,False,Financial - Other,,
30,NO0012852542=ST,Goldman Sachs International,GSILT,0.0,2028-04-20,2023-04-20,NO0012852542,Norwegian Krone,Norway,Corporate,Structured Product,,,,,False,Financial - Other,,
31,NO001301044=2M,Nordic Corporate Bank ASA,NORCB,10.77,,2023-09-12,NO0013010447,Norwegian Krone,Norway,Corporate,Bond,,,,,True,Banking,,
32,NO0013091777=,Telia Company AB,TELIA,4.79,2034-03-06,2023-12-06,NO0013091777,Norwegian Krone,Norway,Corporate,Bond,Investment Grade,5.322309,6.662098,6.491306,False,Telecommunications,96.569,2026-04-24
33,NO0013211136=,3T Global Bidco PLC,CTGBHL,11.25,2028-05-22,2024-05-22,NO0013211136,US Dollar,Norway,Corporate,Bond,,12.365056,1.810792,1.705358,True,Financial - Other,98.0,2026-04-24
34,NO0013326041=ST,TAPTRAVEL NORDIC AB (publ),TTRND,10.0,2028-10-31,2024-10-03,NO0013326041,Swedish Krona,Norway,Corporate,Bond,,,,,True,Financial - Other,,
35,NO0013380105=TE,Boras V-tyget 1 AB (publ),VTREHB,7.75,2027-04-29,2024-10-29,NO0013380105,Swedish Krona,Norway,Corporate,Bond,,,,,True,Financial - Other,,
36,NO0013401943=OL,Valdres Sparebank,VDSSB,6.58,2035-05-15,2024-11-15,NO0013401943,Norwegian Krone,Norway,Corporate,Bond,,,,,True,Banking,,
37,NO0013405852=OL,Selbu Sparebank,SELBS,5.18,2029-11-14,2024-11-14,NO0013405852,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
38,NO0013409177=TE,Sparebank 1 Lom Og Skjak,SPRBO,5.2,2029-11-26,2024-11-26,NO0013409177,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
39,NO0013411108=TE,Nammo AS,NAMMO,5.224,2034-11-27,2024-11-27,NO0013411108,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Aerospace,,
40,NO001341170=2M,Sparebank 1 Hallingdal Valdres,SPANLS,7.16,,2024-11-28,NO0013411702,Norwegian Krone,Norway,Corporate,Bond,,,,,True,Banking,,
41,NO0013416362=TE,Santander Consumer Bank AS,SANCNB,7.72,,2024-12-05,NO0013416362,Norwegian Krone,Norway,Corporate,Bond,,,,,True,Banking,,
42,NO001342357=1M,Instabank ASA,INSTA,10.96,,2024-12-11,NO0013423574,Norwegian Krone,Norway,Corporate,Bond,,,,,True,Banking,,
43,NO0013426742=TE,Carucel Sentrum Holding AS,CACEAE,5.52,2030-04-03,2025-04-03,NO0013426742,Norwegian Krone,Norway,Corporate,Bond,,,,,True,Service - Other,,
44,NO0013429365=TE,Borgard AS,CAPNUB,6.71,2028-01-08,2025-01-08,NO0013429365,Norwegian Krone,Norway,Corporate,Bond,,,,,True,Service - Other,,
45,NO0013435925=TE,Industriens Og Eksportens Hus AS,INDEK,5.535,2032-12-08,2025-01-08,NO0013435925,Norwegian Krone,Norway,Corporate,Bond,,,,,True,Service - Other,,
46,NO0013461343=TE,Abax Group AS,AOLOLX,6.75,2029-01-29,2025-01-29,NO0013461343,Swedish Krona,Norway,Corporate,Bond,,,,,True,Financial - Other,,
47,NO0013461954=OL,Instabank ASA,INSTA,9.44,2035-07-23,2025-01-23,NO0013461954,Norwegian Krone,Norway,Corporate,Bond,,,,,True,Banking,,
48,NO0013462655=TE,Eiendomskreditt AS,EIEND,4.84,2030-03-15,2025-01-23,NO0013462655,Norwegian Krone,Norway,Corporate,Covered Bond (Other),,,,,False,Mortgage Banking,,
49,NO0013466003=OL,Hegra Sparebank,HEGSB,7.41,,2025-01-29,NO0013466003,Norwegian Krone,Norway,Corporate,Bond,,,,,True,Banking,,
50,NO0013476093=TE,Miris AS,MRISA,0.0,,2025-02-05,NO0013476093,Euro,Norway,Corporate,Interest Claim,,,,,False,Service - Other,,
51,NO0013476754=OL,Opdals Sparebank,OPDAL,4.9,2029-05-11,2025-02-11,NO0013476754,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
52,NO0013483438=TE,Asp Data Center AS,ASPEIA,11.17,2028-03-03,2025-03-03,NO0013483438,Norwegian Krone,Norway,Corporate,Bond,,,,,True,Service - Other,,
53,NO0013502393=TE,Bane Nor Eiendom AS,BNENOB,4.65,2032-03-12,2025-03-12,NO0013502393,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Home Builders,,
54,NO0013508283=TE,Felleskjopet Agri SA,FELOS,5.71,2028-03-17,2025-03-19,NO0013508283,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Chemicals,,
55,NO0013508309=TE,Felleskjopet Agri SA,FELOS,6.05,2032-03-19,2025-03-19,NO0013508309,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Chemicals,,
56,NO0013524967=OL,Grue Sparebank,GRUES,5.05,2028-04-03,2025-04-03,NO0013524967,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
57,NO0013534339=TXEA,Solis Bond Company DAC,ALTYGS,0.0,,2025-04-07,NO0013534339,Euro,Norway,Corporate,Interest Claim,,,,,False,Financial - Other,,
58,NO0013538843=TE,Fastighets Terminalvagen 24 AB,URMABF,5.23,2028-05-02,2025-04-30,NO0013538843,Swedish Krona,Norway,Corporate,Bond,,,,,True,Financial - Other,,
59,NO0013550210=OL,Sparebanken Narvik,SPANK,5.08,2030-05-06,2025-05-06,NO0013550210,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
60,NO0013554899=OL,Marker Og Eidsberg Sparebank,EIDSP,5.03,2029-11-09,2025-05-09,NO0013554899,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
61,NO001356668=2M,Orskog Sparebank,OERSK,5.23,2030-05-16,2025-05-16,NO0013566687,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
62,NO0013568550=OL,Lillesands Sparebank,LILES,5.13,2030-05-21,2025-05-21,NO0013568550,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
63,NO0013569053=OL,Instabank ASA,INSTA,10.94,,2025-05-21,NO0013569053,Norwegian Krone,Norway,Corporate,Bond,,,,,True,Banking,,
64,NO0013569129=OL,Instabank ASA,INSTA,9.69,2035-11-21,2025-05-21,NO0013569129,Norwegian Krone,Norway,Corporate,Bond,,,,,True,Banking,,
65,NO0013572461=OL,Opdals Sparebank,OPDAL,4.89,2028-05-26,2025-05-26,NO0013572461,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
66,NO0013572495=TE,Trondelag Sparebank,SPHEM,5.12,2030-06-05,2025-05-22,NO0013572495,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
67,NO0013573626=TE,Polaris Midco AS,PLSEDP,6.51,2029-06-29,2025-06-30,NO0013573626,Norwegian Krone,Norway,Corporate,Bond,,,,,True,Financial - Other,,
68,NO0013573634=TE,Polaris Midco AS,PLSEDP,6.173,2029-06-29,2025-06-30,NO0013573634,Norwegian Krone,Norway,Corporate,Bond,,,,,True,Financial - Other,,
69,NO0013577049=TE,Romerike Sparebank,ROMER,5.01,2030-09-03,2025-06-03,NO0013577049,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
70,NO0013582502=OL,Lillesands Sparebank,LILES,4.67,2027-06-10,2025-06-10,NO0013582502,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
71,NO0013583369=OL,Lea Bank AB,LEAL,11.01,,2025-06-17,NO0013583369,Norwegian Krone,Norway,Corporate,Bond,,,,,True,Banking,,
72,NO0013585422=OL,Lea Bank AB,LEAL,9.76,2035-12-17,2025-06-17,NO0013585422,Norwegian Krone,Norway,Corporate,Bond,,,,,True,Banking,,
73,NO0013593921=OL,Nidaros Sparebank,NISB,5.19,2030-06-17,2025-06-17,NO0013593921,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
74,NO0013597427=TE,Aider Konsern AS,CAIRHI,8.4,2028-09-05,2025-06-24,NO0013597427,Norwegian Krone,Norway,Corporate,Bond,,,,,True,Financial - Other,,
75,NO001359743=2M,Nordic Corporate Bank ASA,NORCB,9.54,,2025-06-27,NO0013597435,Norwegian Krone,Norway,Corporate,Bond,,,,,True,Banking,,
76,NO001360261=1M,Sparebank 1 SMN,MING,5.7,2035-12-31,2025-06-30,NO0013602615,Norwegian Krone,Norway,Corporate,Bond,,,,,True,Banking,,
77,NO0013606459=TE,Olav Thon Eiendomsselskap ASA,HIL,4.916,2035-07-09,2025-07-09,NO0013606459,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Home Builders,,
78,NO001362857=1M,Hegra Sparebank,HEGSB,4.72,2028-08-07,2025-08-07,NO0013628578,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
79,NO0013633768=TE,Sparebank 1 Ostfold Akershus,SOAG,4.86,2030-08-20,2025-08-20,NO0013633768,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
80,NO0013636480=TE,SalMar ASA,SALMX,5.15,2033-08-22,2025-08-22,NO0013636480,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Food Processors,,
81,NO0013638544=OL,Voss Sparebank,VOSSP,4.7,2028-08-28,2025-08-28,NO0013638544,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
82,NO0013641779=TE,Sparebank 1 Lom Og Skjak,SPRBO,4.94,2030-08-28,2025-08-28,NO0013641779,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
83,NO0013641902=TE,Santander Consumer Bank AS,SANCNB,4.7,2028-08-28,2025-08-28,NO0013641902,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
84,NO0013643106=OL,Sparebanken Din Telemark,SPRBTS,4.96,2030-09-02,2025-09-02,NO0013643106,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
85,NO0013643122=OL,Naeringsbanken ASA,NAERN,9.43,2036-03-05,2025-09-05,NO0013643122,Norwegian Krone,Norway,Corporate,Bond,,,,,True,Banking,,
86,NO001364313=2M,Naeringsbanken ASA,NAERN,10.68,,2025-09-05,NO0013643130,Norwegian Krone,Norway,Corporate,Bond,,,,,True,Banking,,
87,NO0013643155=TE,Drangedal Sparebank,DRGTB,4.74,2028-09-04,2025-09-04,NO0013643155,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
88,NO0013643726=TE,Flekkefjord Sparebank,FFSB,4.74,2029-03-01,2025-09-01,NO0013643726,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
89,NO0013643767=OL,Luster Sparebank,LUSTR,4.71,2028-09-04,2025-09-04,NO0013643767,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
90,NO0013646281=TE,Haugesund Sparebank,HGSB,4.91,2030-09-04,2025-09-04,NO0013646281,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
91,NO0013647081=OL,Sparebank 1 Hallingdal Valdres,SPANLS,4.64,2037-09-04,2025-09-04,NO0013647081,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
92,NO0013647636=TE,Sparebank 1 Hallingdal Valdres,SPANLS,4.91,2030-09-04,2025-09-04,NO0013647636,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
93,NO0013647677=OL,Waldorf Energy Finance PLC,WADORW,0.0,,2025-09-02,NO0013647677,US Dollar,Norway,Corporate,Interest Claim,,,,,False,Financial - Other,,
94,NO0013661082=TE,Steinkjerbygg KF,STJRG,4.63,2027-06-16,2025-09-17,NO0013661082,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Financial - Other,,
95,NO0013661736=TE,SalMar ASA,SALMX,4.58,2026-09-15,2025-09-15,NO0013661736,Norwegian Krone,Norway,Corporate,Certificate,,,,,False,Food Processors,,
96,NO0013661785=OL,Haltdalen Sparebank,HALBK,5.12,2030-05-15,2025-09-15,NO0013661785,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
97,NO0013661835=TE,Sparebank 1 Nord-Norge,NONG,5.56,2036-03-18,2025-09-18,NO0013661835,Norwegian Krone,Norway,Corporate,Bond,,,,,True,Banking,,
98,NO0013664516=TE,Lime Petroleum AS,REXITL,14.15,2028-10-10,2025-10-10,NO0013664516,Norwegian Krone,Norway,Corporate,Bond,,,,,True,Oil and Gas,,
99,NO0013669143=TE,Cidron Romanov Ltd,CINRM,9.104,2030-10-02,2025-10-02,NO0013669143,Swedish Krona,Norway,Corporate,Bond,,,,,False,Financial - Other,,
100,NO0013669200=TE,Cidron Romanov Ltd,CINRM,9.142,2030-10-02,2025-10-02,NO0013669200,Swedish Krona,Norway,Corporate,Bond,,,,,False,Financial - Other,,
101,NO001366985=2M,Soknedal Sparebank,SKNSB,5.23,2030-09-26,2025-09-26,NO0013669853,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
102,NO0013670448=TE,Skudenes & Aakra Sparebank,SKUAK,4.94,2030-05-24,2025-09-25,NO0013670448,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
103,NO0013670539=TE,Nsf V Norway Holding 12 AS,SOCTNS,6.385,2030-10-30,2025-10-30,NO0013670539,Norwegian Krone,Norway,Corporate,Bond,,,,,True,Financial - Other,,
104,NO001367056=1M,Famkaa Invest ApS,FAMKA,7.42,2029-04-09,2025-10-09,NO0013670562,Euro,Norway,Corporate,Bond,,,,,True,Service - Other,,
105,NO0013670596=TE,Romerike Sparebank,ROMER,4.98,2031-02-26,2025-09-26,NO0013670596,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
106,NO0013671172=TE,Sogne og Greipstad Sparebank,SOGSP,4.91,2028-09-29,2025-09-29,NO0013671172,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
107,NO001367322=2M,Rorosbanken Roros Sparebank,ROERB,5.17,2030-10-01,2025-10-01,NO0013673228,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
108,NO0013674291=TE,Olav Thon Eiendomsselskap ASA,HIL,4.66,2026-10-02,2025-10-02,NO0013674291,Norwegian Krone,Norway,Corporate,Certificate,,,,,False,Home Builders,,
109,NO001368290=2M,Orskog Sparebank,OERSK,5.23,2030-10-08,2025-10-08,NO0013682906,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
110,NO0013683805=TE,Felleskjopet Agri SA,FELOS,6.31,2032-10-22,2025-10-22,NO0013683805,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Chemicals,,
111,NO0013684357=OL,Jbf Sparebank AS,JBFSP,4.93,2028-10-23,2025-10-23,NO0013684357,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
112,NO0013684563=TE,Greenalia SA,SMTIAG,7.0,2030-11-20,2025-11-20,NO0013684563,Euro,Norway,Corporate,Bond,,,,,True,Building Products,,
113,NO0013685016=OL,Sparebank 68 Grader Nord,SBFH,4.4,2028-10-30,2025-10-30,NO0013685016,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
114,NO0013685222=TE,Sparebank 68 Grader Nord,SBFH,4.85,2030-10-30,2025-10-30,NO0013685222,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
115,NO0013688580=TE,Aurskog Sparebank,AURG,4.92,2031-06-06,2025-11-06,NO0013688580,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
116,NO0013696369=OL,Lillesands Sparebank,LILES,4.68,2028-11-07,2025-11-07,NO0013696369,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
117,NO0013697896=OL,Sparebanken Din Telemark,SPRBTS,4.66,2028-09-01,2025-11-24,NO0013697896,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
118,NO0013698035=TE,Voss Veksel og Landmandsbank ASA,VVL,4.96,2030-11-21,2025-11-21,NO0013698035,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
119,NO0013698209=OL,Sparebank 1 Nordmore,SNOR,5.36,2036-05-27,2025-11-27,NO0013698209,Norwegian Krone,Norway,Corporate,Bond,,,,,True,Banking,,
120,NO0013698480=OL,Sparebank 1 Nordmore,SNOR,6.67,,2025-12-03,NO0013698480,Norwegian Krone,Norway,Corporate,Bond,,,,,True,Banking,,
121,NO0013698589=TE,Sparebank 1 Gudbrandsdal,SPBGU,4.9,2030-11-28,2025-11-28,NO0013698589,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
122,NO0013699504=OL,Sparebank 1 Hallingdal Valdres,SPANLS,5.48,2036-06-05,2025-12-05,NO0013699504,Norwegian Krone,Norway,Corporate,Bond,,,,,True,Banking,,
123,NO0013699645=OL,Orland Sparebank,OERLA,4.95,2030-12-03,2025-12-03,NO0013699645,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
124,NO0013699975=ST,TAPTRAVEL NORDIC AB (publ),TTRND,10.0,2028-06-30,2025-12-12,NO0013699975,Swedish Krona,Norway,Corporate,Bond,,,,,True,Financial - Other,,
125,NO001370006=1M,Soknedal Sparebank,SKNSB,5.04,2030-12-10,2025-12-10,NO0013700062,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
126,NO0013708461=OL,Tolga-Os Sparebank,TGOSB,4.8,2030-02-11,2025-12-11,NO0013708461,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
127,NO0013708693=TE,Agder Sparebank,AGDRS,4.95,2030-12-13,2025-12-15,NO0013708693,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
128,NO0013708826=TE,Nykredit Realkredit A/S,FRNTKY,4.77,2028-09-04,2025-12-18,NO0013708826,Norwegian Krone,Norway,Corporate,Bond,Investment Grade,,,,False,Mortgage Banking,,
129,NO0013708933=OL,Jbf Sparebank AS,JBFSP,4.91,2030-12-16,2025-12-16,NO0013708933,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
130,NO0013708990=TE,Orkla Sparebank,ORKSP,4.73,2028-12-18,2025-12-18,NO0013708990,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
131,NO0013709188=OL,Aurskog Sparebank,AURG,4.99,2031-12-19,2025-12-19,NO0013709188,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
132,NO0013710657=TE,Vegfinans Viken AS,VEGKN,4.234,2026-07-07,2026-01-07,NO0013710657,Norwegian Krone,Norway,Corporate,Certificate,,,,,False,Financial - Other,,
133,NO001371075=1M,Bien Sparebank ASA,BIEN,4.55,2027-01-06,2026-01-06,NO0013710756,Norwegian Krone,Norway,Corporate,Certificate,,,,,False,Banking,,
134,NO0013711531=TE,Tinde Sparebank,TINDE,4.83,2031-02-12,2026-01-12,NO0013711531,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
135,NO0013711556=TE,Sparebank 68 Grader Nord,SBFH,5.07,2031-01-13,2026-01-13,NO0013711556,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
136,NO0013711671=OL,Jaeren Sparebank,JAREN,5.08,2031-04-15,2026-01-15,NO0013711671,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
137,NO0013711937=OL,Hegra Sparebank,HEGSB,5.17,2031-01-20,2026-01-20,NO0013711937,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
138,NO0013712174=OL,Kredittforeningen for Sparebanker,KREDS,4.69,2030-02-04,2026-01-16,NO0013712174,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Mortgage Banking,,
139,NO0013712216=OL,Voss Veksel og Landmandsbank ASA,VVL,5.14,2031-01-22,2026-01-22,NO0013712216,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
140,NO0013712257=TE,Vegamot AS,VGMNT,4.269,2026-10-20,2026-01-20,NO0013712257,Norwegian Krone,Norway,Corporate,Certificate,,,,,False,Financial - Other,,
141,NO0013712471=OL,Kvinesdal Sparebank,KVSDB,5.22,2031-01-21,2026-01-21,NO0013712471,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
142,NO001371250=1M,Trondelag Sparebank,SPHEM,5.17,2031-01-23,2026-01-23,NO0013712505,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
143,NO0013712679=TE,Eiendomskreditt AS,EIEND,4.7,2032-03-15,2026-01-27,NO0013712679,Norwegian Krone,Norway,Corporate,Covered Bond (Other),,,,,False,Mortgage Banking,,
144,NO0013713073=OL,Haltdalen Sparebank,HALBK,5.25,2031-01-27,2026-01-27,NO0013713073,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
145,NO0013721530=OL,Odal Sparebank,ODSBK,4.85,2031-01-30,2026-01-30,NO0013721530,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
146,NO0013725580=TE,Rorosbanken Roros Sparebank,ROERB,4.68,2029-08-06,2026-02-06,NO0013725580,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
147,NO0013725713=TE,Agder Sparebank,AGDRS,4.94,2031-03-14,2026-02-06,NO0013725713,Norwegian Krone,Norway,Corporate,Bond,,,,,False,Banking,,
